Date, Avg
Nov 1, 41.5
Nov 2, 40.7
Nov 3, 36.1
Nov 4, 36.8
Nov 5, 40
Nov 6, 42.5
Nov 7, 51
Nov 8, 53.9
Nov 9, 45.3
Nov 10, 42.3
Nov 11, 50.8
Nov 12, 37.7
Nov 13, 36.6
Nov 14, 35
Nov 15, 33.5
Nov 16, 37.1
Nov 17, 54.8
Nov 18, 35.8
Nov 19, 35.7
Nov 20, 39
Nov 21, 38.4
Oct 1, 68.1
Oct 2, 68.6
Oct 3, 67.1
Oct 4, 66.4
Oct 5, 66.2
Oct 6, 66.5
Oct 7, 69.7
Oct 8, 66.7
Oct 9, 67.9
Oct 10, 74.6
Oct 11, 72.4
Oct 12, 62.8
Oct 13, 57.5
Oct 14, 67.7
Oct 15, 59
Oct 16, 51.9
Oct 17, 52.5
Oct 18, 54.2
Oct 19, 58.5
Oct 20, 57.1
Oct 21, 55.2
Oct 22, 46.3
Oct 23, 46.4
Oct 24, 44
Oct 25, 46.8
Oct 26, 44
Oct 27, 41
Oct 28, 54.2
Oct 29, 54.2
Oct 30, 51.6
Oct 31, 47.5
